"","time","provname","provpop"
"1","2020-01-30 23:30:00","北京",114
"2","2020-01-30 23:30:00","湖北",4903
"3","2020-01-30 23:30:00","广东",354
"4","2020-01-30 23:30:00","浙江",428
"5","2020-01-30 23:30:00","河南",278
"6","2020-01-30 23:30:00","湖南",277
"7","2020-01-30 23:30:00","重庆",182
"8","2020-01-30 23:30:00","安徽",200
"9","2020-01-30 23:30:00","四川",142
"10","2020-01-30 23:30:00","山东",158
"11","2020-01-30 23:30:00","吉林",14
"12","2020-01-30 23:30:00","福建",101
"13","2020-01-30 23:30:00","江西",162
"14","2020-01-30 23:30:00","江苏",129
"15","2020-01-30 23:30:00","上海",112
"16","2020-01-30 23:30:00","广西",78
"17","2020-01-30 23:30:00","海南",49
"18","2020-01-30 23:30:00","陕西",63
"19","2020-01-30 23:30:00","河北",65
"20","2020-01-30 23:30:00","黑龙江",44
"21","2020-01-30 23:30:00","辽宁",41
"22","2020-01-30 23:30:00","云南",70
"23","2020-01-30 23:30:00","天津",31
"24","2020-01-30 23:30:00","山西",35
"25","2020-01-30 23:30:00","甘肃",26
"26","2020-01-30 23:30:00","内蒙古",18
"27","2020-01-30 23:30:00","台湾",9
"28","2020-01-30 23:30:00","澳门",7
"29","2020-01-30 23:30:00","香港",10
"30","2020-01-30 23:30:00","贵州",12
"31","2020-01-30 23:30:00","西藏",1
"32","2020-01-30 23:30:00","青海",8
"33","2020-01-30 23:30:00","新疆",14
"34","2020-01-30 23:30:00","宁夏",17
