"","date","cn_conNum","cn_deathNum","cn_cureNum","cn_susNum","wuhan_susNum"
"1",2020-02-04,24363,490,892,23260,NA
"2",2020-02-03,20471,425,632,23214,NA
"3",2020-02-02,17238,361,475,21558,NA
"4",2020-02-01,14411,304,328,19544,NA
"5",2020-01-31,11821,259,243,17988,NA
"6",2020-01-30,9720,213,171,15238,NA
"7",2020-01-29,7736,170,124,12167,NA
"8",2020-01-28,5974,132,103,9239,NA
"9",2020-01-27,4515,106,60,6973,NA
"10",2020-01-26,2744,80,51,5794,NA
"11",2020-01-25,1975,56,49,2684,NA
"12",2020-01-24,1287,41,38,1965,NA
"13",2020-01-23,830,25,34,1072,NA
"14",2020-01-22,571,17,30,348,NA
"15",2020-01-21,440,9,25,91,NA
"16",2020-01-20,258,6,25,54,NA
"17",2020-01-19,198,4,25,NA,NA
"18",2020-01-18,121,3,24,NA,NA
"19",2020-01-17,62,2,19,NA,NA
"20",2020-01-16,45,2,7,NA,NA
"21",2020-01-15,41,1,7,NA,NA
"22",2020-01-14,41,1,7,NA,NA
"23",2020-01-13,41,1,7,NA,NA
"24",2020-01-12,41,1,6,NA,NA
"25",2020-01-11,41,1,2,NA,NA
